,temperature,geometry
682350.0,,"POLYGON ((-106.4958333033333 28.87916667, -106.4958333033333 28.92083333, -106.5374999633333 28.92083333, -106.5374999633333 28.87916667, -106.4958333033333 28.87916667))"
682349.0,,"POLYGON ((-106.53749997 28.87916667, -106.53749997 28.92083333, -106.57916663 28.92083333, -106.57916663 28.87916667, -106.53749997 28.87916667))"
682348.0,,"POLYGON ((-106.5791666366667 28.87916667, -106.5791666366667 28.92083333, -106.6208332966667 28.92083333, -106.6208332966667 28.87916667, -106.5791666366667 28.87916667))"
680963.0,,"POLYGON ((-106.53749997 28.92083333666667, -106.53749997 28.96249999666666, -106.57916663 28.96249999666666, -106.57916663 28.92083333666667, -106.53749997 28.92083333666667))"
680964.0,,"POLYGON ((-106.4958333033333 28.92083333666667, -106.4958333033333 28.96249999666666, -106.5374999633333 28.96249999666666, -106.5374999633333 28.92083333666667, -106.4958333033333 28.92083333666667))"
651895.0,,"POLYGON ((-104.9541666366667 29.79583333666667, -104.9541666366667 29.83749999666666, -104.9958332966667 29.83749999666666, -104.9958332966667 29.79583333666667, -104.9541666366667 29.79583333666667))"
651896.0,,"POLYGON ((-104.91249997 29.79583333666667, -104.91249997 29.83749999666666, -104.95416663 29.83749999666666, -104.95416663 29.79583333666667, -104.91249997 29.79583333666667))"
651889.0,,"POLYGON ((-105.2041666366667 29.79583333666667, -105.2041666366667 29.83749999666666, -105.2458332966667 29.83749999666666, -105.2458332966667 29.79583333666667, -105.2041666366667 29.79583333666667))"
651886.0,,"POLYGON ((-105.3291666366667 29.79583333666667, -105.3291666366667 29.83749999666666, -105.3708332966667 29.83749999666666, -105.3708332966667 29.79583333666667, -105.3291666366667 29.79583333666667))"
651890.0,,"POLYGON ((-105.16249997 29.79583333666667, -105.16249997 29.83749999666666, -105.20416663 29.83749999666666, -105.20416663 29.79583333666667, -105.16249997 29.79583333666667))"
651888.0,,"POLYGON ((-105.2458333033333 29.79583333666667, -105.2458333033333 29.83749999666666, -105.2874999633333 29.83749999666666, -105.2874999633333 29.79583333666667, -105.2458333033333 29.79583333666667))"
651898.0,,"POLYGON ((-104.8291666366667 29.79583333666667, -104.8291666366667 29.83749999666666, -104.8708332966667 29.83749999666666, -104.8708332966667 29.79583333666667, -104.8291666366667 29.79583333666667))"
651887.0,,"POLYGON ((-105.28749997 29.79583333666667, -105.28749997 29.83749999666666, -105.32916663 29.83749999666666, -105.32916663 29.79583333666667, -105.28749997 29.79583333666667))"
651893.0,,"POLYGON ((-105.03749997 29.79583333666667, -105.03749997 29.83749999666666, -105.07916663 29.83749999666666, -105.07916663 29.79583333666667, -105.03749997 29.79583333666667))"
651891.0,,"POLYGON ((-105.1208333033333 29.79583333666667, -105.1208333033333 29.83749999666666, -105.1624999633333 29.83749999666666, -105.1624999633333 29.79583333666667, -105.1208333033333 29.79583333666667))"
651897.0,,"POLYGON ((-104.8708333033333 29.79583333666667, -104.8708333033333 29.83749999666666, -104.9124999633333 29.83749999666666, -104.9124999633333 29.79583333666667, -104.8708333033333 29.79583333666667))"
651892.0,,"POLYGON ((-105.0791666366667 29.79583333666667, -105.0791666366667 29.83749999666666, -105.1208332966667 29.83749999666666, -105.1208332966667 29.79583333666667, -105.0791666366667 29.79583333666667))"
650509.0,,"POLYGON ((-104.9541666366667 29.83750000333334, -104.9541666366667 29.87916666333333, -104.9958332966667 29.87916666333333, -104.9958332966667 29.83750000333334, -104.9541666366667 29.83750000333334))"
650506.0,,"POLYGON ((-105.0791666366667 29.83750000333334, -105.0791666366667 29.87916666333333, -105.1208332966667 29.87916666333333, -105.1208332966667 29.83750000333334, -105.0791666366667 29.83750000333334))"
650502.0,,"POLYGON ((-105.2458333033333 29.83750000333334, -105.2458333033333 29.87916666333333, -105.2874999633333 29.87916666333333, -105.2874999633333 29.83750000333334, -105.2458333033333 29.83750000333334))"
650507.0,,"POLYGON ((-105.03749997 29.83750000333334, -105.03749997 29.87916666333333, -105.07916663 29.87916666333333, -105.07916663 29.83750000333334, -105.03749997 29.83750000333334))"
650505.0,,"POLYGON ((-105.1208333033333 29.83750000333334, -105.1208333033333 29.87916666333333, -105.1624999633333 29.87916666333333, -105.1624999633333 29.83750000333334, -105.1208333033333 29.83750000333334))"
650508.0,,"POLYGON ((-104.9958333033333 29.83750000333334, -104.9958333033333 29.87916666333333, -105.0374999633333 29.87916666333333, -105.0374999633333 29.83750000333334, -104.9958333033333 29.83750000333334))"
650510.0,,"POLYGON ((-104.91249997 29.83750000333334, -104.91249997 29.87916666333333, -104.95416663 29.87916666333333, -104.95416663 29.83750000333334, -104.91249997 29.83750000333334))"
650511.0,,"POLYGON ((-104.8708333033333 29.83750000333334, -104.8708333033333 29.87916666333333, -104.9124999633333 29.87916666333333, -104.9124999633333 29.83750000333334, -104.8708333033333 29.83750000333334))"
650501.0,,"POLYGON ((-105.28749997 29.83750000333334, -105.28749997 29.87916666333333, -105.32916663 29.87916666333333, -105.32916663 29.83750000333334, -105.28749997 29.83750000333334))"
650504.0,,"POLYGON ((-105.16249997 29.83750000333334, -105.16249997 29.87916666333333, -105.20416663 29.87916666333333, -105.20416663 29.83750000333334, -105.16249997 29.83750000333334))"
650500.0,,"POLYGON ((-105.3291666366667 29.83750000333334, -105.3291666366667 29.87916666333333, -105.3708332966667 29.87916666333333, -105.3708332966667 29.83750000333334, -105.3291666366667 29.83750000333334))"
650503.0,,"POLYGON ((-105.2041666366667 29.83750000333334, -105.2041666366667 29.87916666333333, -105.2458332966667 29.87916666333333, -105.2458332966667 29.83750000333334, -105.2041666366667 29.83750000333334))"
649125.0,,"POLYGON ((-104.8708333033333 29.87916667, -104.8708333033333 29.92083333, -104.9124999633333 29.92083333, -104.9124999633333 29.87916667, -104.8708333033333 29.87916667))"
649124.0,,"POLYGON ((-104.91249997 29.87916667, -104.91249997 29.92083333, -104.95416663 29.92083333, -104.95416663 29.87916667, -104.91249997 29.87916667))"
649122.0,,"POLYGON ((-104.9958333033333 29.87916667, -104.9958333033333 29.92083333, -105.0374999633333 29.92083333, -105.0374999633333 29.87916667, -104.9958333033333 29.87916667))"
649116.0,,"POLYGON ((-105.2458333033333 29.87916667, -105.2458333033333 29.92083333, -105.2874999633333 29.92083333, -105.2874999633333 29.87916667, -105.2458333033333 29.87916667))"
649115.0,,"POLYGON ((-105.28749997 29.87916667, -105.28749997 29.92083333, -105.32916663 29.92083333, -105.32916663 29.87916667, -105.28749997 29.87916667))"
649123.0,,"POLYGON ((-104.9541666366667 29.87916667, -104.9541666366667 29.92083333, -104.9958332966667 29.92083333, -104.9958332966667 29.87916667, -104.9541666366667 29.87916667))"
649117.0,,"POLYGON ((-105.2041666366667 29.87916667, -105.2041666366667 29.92083333, -105.2458332966667 29.92083333, -105.2458332966667 29.87916667, -105.2041666366667 29.87916667))"
649118.0,,"POLYGON ((-105.16249997 29.87916667, -105.16249997 29.92083333, -105.20416663 29.92083333, -105.20416663 29.87916667, -105.16249997 29.87916667))"
